name,text
유령쏘나타,RT @nickaymon: 한동훈 탄핵하라 !!!!🤬🤬🤬🤬🤬🤬🤬
찢!!!싫어요~~찢 맞팔금지!빨간이름~유후~,"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…"
세월호 천안함 KAL 폭파 진실은 ?,RT @khyee_queen: @newsgongjang 똑똑 ㅋ 조만간 난파선 될 조직이야😡 정신차려 모지리야 🤬
로재 이,"RT @gangmin23458643: 이런 각오로 문프를 보좌했음
벌써 남북통일된 나라에서
천조국 밀어내고 전세계가
한국 눈치 보며 살 것 같다
😠😡🤬👿 https://t.co/flkfWEu1q1"
그레잎,"RT @gangmin23458643: 이런 각오로 문프를 보좌했음
벌써 남북통일된 나라에서
천조국 밀어내고 전세계가
한국 눈치 보며 살 것 같다
😠😡🤬👿 https://t.co/flkfWEu1q1"
진보욕쟁이꼰데,"RT @righteously_3: “나하고 통화를 했어요?” 
날리면 저리가라네….🤬 https://t.co/LPkLMAY4uQ"
__흐르는 라향(라일락꽃향기),"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…"
임근배,RT @righteously_3: 이미 입단속은 끝났고… 자기부정오지네…🤬 https://t.co/Kvekf6bl6X
박건일,RT @nickaymon: 한동훈 탄핵하라 !!!!🤬🤬🤬🤬🤬🤬🤬
crazy_or_mad,RT @righteously_3: 이미 입단속은 끝났고… 자기부정오지네…🤬 https://t.co/Kvekf6bl6X
아니까_김,RT @Mohaniiiiii: 너나 쳐묵해 🤬 https://t.co/b86BNu05yQ
청깨비KS7차전,"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…"
사람답게 사는 세상,"RT @none_talking: 청담동 첼로와 그랜드 피아노가 있던 그 곳에 얘도 있었나…?⁉️❓

그래서 바로 영접하는거야…?😡🔞🤬
. https://t.co/tJfjdSev3o"
굿윈#,RT @righteously_3: 이미 입단속은 끝났고… 자기부정오지네…🤬 https://t.co/Kvekf6bl6X
신경호,"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…"
다시 그자리에서,"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…"
비혼,"RT @righteously_3: “나하고 통화를 했어요?” 
날리면 저리가라네….🤬 https://t.co/LPkLMAY4uQ"
