label,text,name
Pos,"RT @VirtualR214: #MAMAVOTE #nct127 
 윤슬 너무 좋습니다ㅠㅠ https://t.co/1kGrrChL11",🕊️
Neutral,"RT @MOA_iS2i: #RT이벤트 #알티추첨

사고 싶은데 돈 없어서 굿즈 못 사는 깅들을 위해 들고 왔어요😚💕

팔로워 한정 RT추첨 네 분 원하시는 거 하나씩 드려요!!
트친해 주셔서 감사합니당💖

①미드썸머(미개봉)
②지비지비 세트
③블루…",채아 러버 쭈아
Pos,RT @1209bk: ㄴㅁ 예뿌다..... 공연 수고해써  https://t.co/bj89F8It9f,.
Pos,"우리정국이 밖에서 기다리는 팬들
더울까봐 물 전해줬.. 
아...진짜ㅜㅜ 전정국 🫶 
내면 외면 아름다운 사람 전.정.국♡

WE LOVE YOU JUNGKOOK🤍
 
I vote for… https://t.co/tOSIhvWPNE",🐰빛나는나의JK.97밤이🐰
Pos,아 진짜 왤케 이뻐 뽑뽀 백만번 갈겨🤍 https://t.co/ttnOwo5tj8,우떠 려니🧸🐻🚀☄️👾
Pos,"RT @allofkiki: 221027 #기현 공카 댓글

여기가서 다정하고, 저기가서 귀여워해주고
오늘도 눈뜨자마자 사랑해 🫶🏻

#MAMAVOTE #MONSTAX https://t.co/lh0JvruuHR",세꿍♡‧₊˚
Pos,RT @somewoonsz: 귀ㅇ ㅕ워엉 https://t.co/WnS4XJVVGp,뿌뿌
Neutral,"RT @620cute: 11/4 기은 흥국 어웨이쪽 좌석 양도 구합니다,,, 1층으로 구해요 디엠주세여,,,🙏🏻🙏🏻 #기업은행 #흥국생명",김수지와_해피투게더🐰
Neutral,"RT @A_longtime_a90: [RT] 한분께 랜덤박스 보내드립니다(수령 인증샷 필수📸)

https://t.co/j3r7QQXHlJ

주문기간 [28일 12시~29일 18시까지]
출고일 [11월 2일]

쿠키세트를 마치고 오랜만의 스콘과 구움…",갬쩌둥지
Pos,RT @_l60808: 꺆우리강아지양갈래!!!!🐹🤍🫶🏻 #로제 #ROSÉ https://t.co/okybjLgiaD,yuri
Neutral,팔로창 확인 해주세용 ,동삼
Pos,RT @_l60808: 이거뭐야 귀여움. 애기같음. 👶🏻 #로제 #ROSÉ https://t.co/7lifncGaJS,k ^^
Neutral,"RT @_waveww717: 갤러리에 붙어있던 2장
성장이란.. https://t.co/9PCKmSzeTH",저음미식가
Pos,"RT @together_jin: 메이플스토리 정말 감동이야 🫶🏻🍁

[세심한 감동 포인트]
- 공지 올린 시각: 석진시 12:04
- 발매 일정 공지: 석진님의 첫 솔로 싱글 'The Astronaut'이 10월 28일(금) 오후 1시 발매될 예정…",석진 포에버
Neutral,"RT @Cap_ff14_: [RT 감사드립니다!]

길 커미션... 200만길... 현금 0.6...

뽀쨕 두상을 그려드립니다...  샘플은 타래로 업로드되며 원하신다면 도장 편집 가능... 디엠 후 멘션 주세효...  https://t.co/…",파판14 길 커미션 홍보봇
Pos,__뎡이 귀엽다고요,유쓰
Pos,언니 완전 다정하고 재밌는 사람 https://t.co/Ym4X6z2V7s,아융
Neutral,"RT @onbam_jh: #rt + #follow 

세븐틴 인더숲 포토북 한분 사드려요 
덕자 변경 가능 (2.2) 배송비랑 후기 가능하신 분들만 참여해주세요

타래 이벵 참여하시면 확률 업
캐럿 한정 ❌ 당발 11월 후반 12월 초중반 http…",🌿🔥🌌💧 퍄오례애 朴烈爱 🏳️‍🌈🌟
Neutral,"RT @hyp3rvntltn: #트레저  221021 위드뮤 대면팬싸 후기 #준규 

가자마자 먼저 하이파이브 해주는 준규,, 그러고는 
🐨: 손이 왜이렇게 작으세요~?! 😆
•
•
🥛: 저 오늘 너무 긴장했어여..
🐨: 긴장 할 수는 있는데요!…",제리
Pos,@mycherry_you 연준 = 남친,🧸🎀
Pos,"RT @hskim127: 너무 좋은데 머글들 걱졍....🫢

내먼지계정 힘내자아
튭에 포함되고시퍼용
손잡아주시겠습니까아 #아미트친소 
I'm voting for BTS @BTS_twt for Favorite Pop Duo or Group at th…",꾸깅💜
Pos,RT @moja99499: 오다사쿠..생일축하해...🎁 https://t.co/TIxJar9fj9,海
Pos,"승준이 시절부터 예쁜사진들이 곳곳에 전시되어 있어서 같이 추억여행 하는 느낌이었어요 최고된다❤️‍🔥
#for_seoham_life #박서함 
#PARKSEOHAM #SEOHAM https://t.co/meHszFGOBy",제이
Pos,"RT @violinist_SYC: 221027 응수씨네 

Hype boy cover. #LUCY 
즉석커버 진짜 미친거아냐?!! 너무 잘함 https://t.co/4DIdgCpNFR",✳︎산레8!ᐡ͈◡̉ᐡ͈
Neutral,"RT @Soyoo_k: @Amethyst_btstwt 여러분 해외의 경우, 같은 날 리한나, 드레이크, 아델, 테일러 스위프트 뮤비, juice world 등 최강 아티스트들이 신곡 발매해서 차트 진입이 현실적으로 많이 많이 빡셀 예정입니다..!…",Bts♡ 찐
Pos,"RT @fairytale_EHEH: #귀여운뷔콘테스트 
얘들아솔직히태형이너무귀엽지않니💕💕 https://t.co/mytXVrZhwo",핀아ㅏㅏ
Neutral,"RT @dearmyyb: ⭐️ 액자 무료 나눔 ⭐️
액자 통판으로 구매했던 최1 액자에서 약간의 흠집 난 상태로 배송되어 온 액자 나눔합니다  선생님께 허락은 당연히 받았고! 흠집은 아래 사진으로 확인해 주세요 🙏🏻 RT 추첨으로 진행하고 발표는…",rest 얀쭈
Pos,"RT @funcoolcherry: 📍난포 - 이태원 한남

강된장쌈밥/제철회묵은지말이
(새우감자전은 좀 느끼😅)
진짜너무맛잇어서울면서먹음..
1시반쯤갔는데웨이팅1시간했어요!!!근데그힘듦을잊어버리게하는맛임..재방문의사10000

**네이버예약은 홀3…",은행원
Pos,"RT @WekiMeki: 보고시퍼 키링덜
오늘도 밥 잘 챙겨묵고 따뜻하게 보내요😘
#엘리 https://t.co/WDVAnwozL7",백채토
Pos,"RT @127skrrrr: 44개 팬연합+중국바+수많은 도우미분들 모두 감사합니다.. 이게 사랑이지 뭐가 사랑이야💚

#MAMAVOTE #NCT127",쩡
