name,text
루미,"close to you… 징짜 완전 최애곡 됐어요🥹
오늘도 들으면서 등교중 ⸝⸝ ᷇࿀ ᷆⸝⸝"
Laurént 😶‍🌫️,RT @_l60808: 채영 새 매니저님 결혼식에 축하 영상 보냈다고...🥹🫶🏻 https://t.co/tCDFpO9AKf
al☄️,"RT @zzaeyoung_: #MAMAVOTE #fromis9
12시 지난김에 올리구 자야지..~
알티 많이많이 해주세요~~🥹💚🍀 https://t.co/5sCe7zyDEc"
고양이 최고,"RT @chagchi: 아키 덴지 같이사는거 걍 이거임
마루는 강쥐 짤 트레 입니다🥹
#체인소맨 #chainsawman https://t.co/Uyi6ZQyx82"
Swift🌌 ts Lover🐈,"RT @tswiftKOR: 📹 221026 런던 본이베어 콘서트에 서프라이즈 게스트로 등장해 저스틴버논과 ‘exile’ 듀엣무대를 보여준 테일러!!! 이 곡의 첫번째 라이브 퍼포먼스입니다🥹
 https://t.co/seRVQuRXKw"
체리🍒,"RT @971015WOONG: 221023 신나라 대면팬싸 웅이🌸

까먹고 포잇에 내 이름 안 적어가서 급하게 내 팬싸 대본에 이름 휘갈겨 적어서 그거 찾고 있었는데 웅이가 내 이름 닉네임 알고 있었어🥹 진짜 감동이야…웅이에게 기억 되는 팬 되기 성…"
일곱,"RT @KeunseWorldS2: 테스배 익명님 증사 &gt;&gt;이세진(큰세)&lt;&lt;만이라도 구합니다💓 큰세,문대 선호
전체 일괄이면 더 좋아요🥹 https://t.co/0hwsAz1Snp"
isti,"RT @mimiisrock: 오늘도 넘넘 귀여워 🥹💖
#석락원 #ATBO https://t.co/piTZQOG6gt"
데이😶‍🌫️,팬들 보고 가볍게 브이 해준 다음에 한 번 더 돌아보고 인사 또 해주는 거 너무 좋음ㅠㅠㅠ 두번째 돌아볼 때 눈 맞춰주는 게 너무너무 다정해 🥹 https://t.co/yirLcfFt74
아프지망고,"RT @zzaeyoung_: #MAMAVOTE #fromis9
12시 지난김에 올리구 자야지..~
알티 많이많이 해주세요~~🥹💚🍀 https://t.co/5sCe7zyDEc"
A̸m̸,RT @and_WJ: 이 착장 제일 사랑해 🥹❤️ https://t.co/kSgVyUgO96
.,"RT @colaiscoke_: 221023
루토 땜에 전쟁 났어요..아름다war🥹

#TREASURE            #트레저            
#HARUTO #하루토 #ハルト https://t.co/p3jPnx8R2h"
sunoobaby,"RT @sunooone_: 221026 #ENHYPEN #SUNOO #선우 

도쿄 출국 ✈️

조심히 잘 다녀와🥹☘️ https://t.co/u14VsSXtwN"
김아누,"RT @myungseon: 아마님들 툽 해주세요!!!🙏
모든툽 완료~ 오늘은 나름 꾸며서 인증 …ㅋㅋㅋ (그럼 혹시 툽좀 더 해주시려나?? 바램🥹) 해시심기~
오늘도 현생에 치이시겠지만 탄이들 생각하며 좋은 하루 되시길~💜

I'm voting fo…"
