text,name
주말 연우 1도 없는거 무슨일이야......🤬 https://t.co/XOXfMbvmVs,바니바니🌞
RT @itgBQMqPuBsKXae: 걍 소양강에 뛰어내려라!!!!🤬🤬🤬🤬 https://t.co/tgP807YEAZ,This too shall pass away
"RT @onr228: 이재명 아들 잡아갔으면
#임요한 도 잡아갈거니?
지금 #대통령 이 
김앤장변호사들 30여명과,
#법무부장관 이랑 술 퍼마신 건 어쩌고🤬🤬
나 한게임하고,피망 고스톱 많이했는뎌 죄냐?
한 1억 넘게 있다!!! https://t.c…",히말라야
RT @petermams: 옆베드 보호자 pcr검사도 없이 들락거려서 한마디함. 미친거아냐. 신속항원 검사했다고 하는데 그거 가지고 안되는거 뻔히 알면서 그럼. 얼굴 붉히기 싫었는데 참을 수 없어 한마디하고 간호병동에 클레임. 지가 안된다고 하는데…,봄날의하늘
RT @garac85: 윤석열은 대통령 정말 편하게 한다. 전임 정부에서 나라살림을 최 우량국가로 만들어서 물려줬지? 모든 tv채널에서 느그 등신들 경제회의 한답시고 생방 풀로 내보내 주고 상대야당 대표는 지 맘대로 후려 팰수있는 중범죄자에 먼짓을…,등불
"RT @Mohaniiiiii: 침대 몇대 들인다했지?
그건 뺐남?
이런 기사가 더 분노유발 하는걸 모르나베...🤬 https://t.co/XwE56jRWkc",민경천
"@moolpang 장난하는것도 아니고 열불나게하네🤬
이색히들은 쑈질에도 성의가 없어",임마누엘
제발🤬🤬🤬🤬,서해
@bbakbbak4 싸울래여!!!!!!!!!!🤬🤬,요미~💗
하지말라면 하지마🤬,언
"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…",👹달달한 마음👹
윤석열은 대통령 정말 편하게 한다. 전임 정부에서 나라살림을 최 우량국가로 만들어서 물려줬지? 모든 tv채널에서 느그 등신들 경제회의 한답시고 생방 풀로 내보내 주고 상대야당 대표는 지 맘대로 후려 팰수있는… https://t.co/Fb8KPx0YRL,가락
"RT @righteously_3: “나하고 통화를 했어요?” 
날리면 저리가라네….🤬 https://t.co/LPkLMAY4uQ",cbrock
"J와 K열에서 벗어나고 싶다..
없는 날짜 표들...갖고싶다..
내 소망좀 들어줘라~~  아무나!!
그렇다고 플미티팅은 사양🤬",오래된먼지
@kkommi6 친일매국노 새퀴🤬,임마누엘
@yuju_meow 나쁜사람들 🤬,귀욤냥
