text,name
@jh0125_sj 목탁에 주기도문은.....🤔,JH_2준호🐧
RT @makefunof_ww: 길🛣막마🚫 전부 다💥 비켜👊🏻‼️ 엘사❄️🌬 불러도 날🤔 못 식혀♨️🙅‍♂️‼️ 쇠뿔😈 달고 뛰어‼️ 어 ➡️ 에ㅎ 🤷‍♀️ 에스쿱스🦝,전애옹복덩어릐💎
"RT @NFlyingofficial: [EVENT] *23# 🔔 새로운 메시지가 도착했습니다.

익명의 메시지에 재치있는 답변을 해시태그와 함께 멘션으로 보내주세요! (5명, 사인 폴라로이드)

오늘 8PM, 누구에게 답장이 올까🤔❓

⬇해시태그⬇…",비마이유토피아🐰(비마유)
"RT @JoJo_gwangin: 안뇽하세여...뜬금없시 트친소엽니다💬 바쉬조 사랑을 사랑하구 남정내들(혹은 그 외) 사랑에 미텼읍니다... 엄청 낯가려서 혼잣말계로 하려다가,,급발진&gt;&lt; 저랑 가좍이 되어주세요(마음 눌러주시면 찾아가욥..) 근데 이거…",ruru
"RT @MUPLY_PLAYLIST: #돌들의침묵|@ygtreasuremaker

뉘집 아들들이 이렇게 훤칠하고 춤도 잘 추나요?🤔
그건 바로 TREASURE(트레저)💎!

청량한 노래와 뽀짝한 잠옷,
그리고 잔망 넘치는 표정까지👶🏻!

트메라면 당장…",atha
"RT @siwonchoi: 꼭 발 걸음 멈추게 한다니깐.. 🤔

 오늘 밤 9시 ENA ‘얼어죽을 연애따위’ 본방사수! 👑  #얼어죽을연애따위 

 • ENA채널 번호 안내 • (상당히 친절한 서비스 😇)

 • Genie tv 1번 
 • skyl…",ロゼッレハルです 🌸🌼🌿🐒🇵🇭Ϛ⃘๑•͡ .̫•๑꒜♬♫
디오 랑 레인보우 노래가 좋더라! 메가데스랑 블랙사바스 노래도 조금씩 듣고 있어🤔,별명
"RT @kkommi6: 이러니까  더 궁금하잔아~🤔
도대체  뭐하고 다니는거니?! 
숨기는거 보니  수상하다 . 수상해...🤔 https://t.co/eesZnxfvXO",🎗할 ( 喝 ) or 할레이션 😷
"안뇽하세여...뜬금없시 트친소엽니다💬 바쉬조 사랑을 사랑하구 남정내들(혹은 그 외) 사랑에 미텼읍니다... 엄청 낯가려서 혼잣말계로 하려다가,,급발진&gt;&lt; 저랑 가좍이 되어주세요(마음 눌러주시면 찾아가욥..)… https://t.co/v0AMHmj698",바죠
RT @VRVR_minX3: 첫 응원봉 모양이 왜때문에 코인인지가 늘 의문이었는데요...🤔 https://t.co/QQcds5bCuu,단비
@chunsun_2 7장에 얼굴이 다 가려진다라....🤔,홋랑이🐯❤️‍🔥
"RT @sws060700: 조응천의 저 발언은 어떤뜻이지?
죄명이를 빨리 처리한다는건가?
아님 적당선에서 짜르겠다는건가?🤔🤔 https://t.co/sGq099EAw1",처음처럼설렘🦋...🎗
"@SsIML_ 흐엉'. .글쿤여
갑자기또고민이되는..🤔",치로
딱 할로윈때 200일인데 할로윈 겸 해서 나의 첫 이뱅을 열어보까..🤔 트친 한정만으루다가~&gt;_• https://t.co/HW9GjZaeJR,예원우
그런 정의에 그다지 🤔 뻔해져버렸으,신아
이거 아이보리색 사구 싶은데 우Z가 입은 사이즈 알구 싶은데 아무리 상세페이지 읽어봐두 안 나오넹🤔🤔 https://t.co/GtWsmhmbfc,너누안경처돌이🖤💜
@applevillain 터졌다기보단 야금야금 문드러진다는 느낌이에요 🤔 https://t.co/5JqOiGe4Fy,🎗멘션형 얼치기 게이머
"RT @gold_patt: 221019 계룡군문화엑스포 버스킹

어제 하입보이 올린줄 알았는데...🤔 
암튼 귀여운 우리 대왕쁘띠큐티한입보이❤
#인성 #SF9 https://t.co/61yYfnON21",라니
"에피4 끝나면 일반 성약 캐 뭐 나오려나 제일 궁금한데...
에피5까지 조금 텀을 둔다고 생각하면 내년 5월이나 그쯤에 시작할 수도 있을 것 같은데🤔 5월 대규모 업뎃하면서 스토리 PV 공개하고
작년에는 란… https://t.co/0Lu33XHozI",🌟쵸펭🌟
"RT @KSM_KimGooN: 아 며칠째 달고사는 진통제인지 모를지경
머리가 콕콕 쑤셔….오전엔 으슬으슬 춥다
나 열 많은 사람인데..왜 ? 왜지 !?
(혼잣말 좀 했습니다 🤔)

I‘m voting for BTS (@BTS_twt) for Favo…",꾸깅💜
@llraisin 으앜ㅋㅋㅋㅋㅋㅋㅋ 잌넴의 양심이...!🙃 하긴 호산이는 작년에두 나왓구나🤔,Torln McQuist/DK
"월요일에 잉기쟁이 왹보랑 애기씨들 데리고 화담숲 기깔나게 다녀왔어요
그랫던 내가 지금은 사무실😑
인셍이랑... 몰까🤔 https://t.co/lrl7i3mmX1",👓저씨🐢
"RT @kbs_gkgayo: 💡한낮의 하이라이트💡
&lt;#이기광의가요광장&gt;
-
#박소영 #허안나 와
함께한 &lt;추바퀴 - #엽기적인그녀 &gt;

가요광장은요🤔
태양계 미남이 진행하구요
수요일마다 웃음사냥꾼 두분이 오시니까
달달한 음식 준비해두셔야 해요
안그럼…",久美子
"@MoonandStar321 짱구는 못말려~ 노란 숏츠, 빨간 셔츠… 🤔",JOEL✨
"RT @suga__mp4: 멤버들 의상도 궁금해! 🤔
#SUGA #슈가 #민윤기 #윤기 https://t.co/TBR4kDJjbZ",Israali (Suha)
RT @pisces3O9: 문특 인스스에 소녀시대 🤔 https://t.co/q0tF0JYBEk,M
"RT @petminitown: &lt;&lt; 쏘쏘한 일상 &gt;&gt;

아침부터 스트레스 ~~
같은 건물 지하에 공사한다고 매일 주차 전쟁!!! 
11월 초까지 한다는뎁!!

진정하고 다다즈팸 챙기기 시작 !! 🥁🐶🚀

과연 이런 역경을 딛고 .. 내가 누구에게 보…",알콜미인
"RT @byeongjun02: 창욱이 관찰하기..🤔(3/3)
사실 더 만져야하는데,,, 완성할 여력이 안돼서,, 그냥 투고합니당..ㅠㅠ
#drippinfanart #drippin #changwook #드리핀팬아트 #드리핀 #팬아트 #창욱 #주창욱 h…",Ross
라인업이 배우분들과 함께 뜨서 살짝 그런가 하고 있는데 🤔 https://t.co/jqPjFvhHch,시나브로다녤🎤Joy Ride ¹⁰⁰⁵🇰🇷🦖
@Floweress_Loe 밑에 숫자로도 사용은 가능하겠지만 그것도 지워버리셨다면🤔,신미소/シンミソ/Shin Miso🕙🧭
"RT @CJnDrama: 하나 둘 정체가 밝혀진 5명의 소년들 🔎
👤7번 안태호 👤11번 류성훈 👤13번 정윤재 
그리고 어릴 때 죽은 👤24번 이현수까지! 
진짜 👤12번 정인성은 어떻게 됐을까? 🤔

tvN 금토드라마 &lt;블라인드&gt; 
[금토] 밤…",므응덕
"RT @Na_someday_: 세계적인 영화제 상영을 목표로...
그럼...부국제 기대해도 되나..🤔

#MilePhakphum #Nnattawin #MileApo https://t.co/AozJYjtowo",외계인
"RT @jjk_withyou: 정구기는 뭐하려나 🤔

I vote #PermissiontoDance        for #TheConcertTour at 2022 #PCAs https://t.co/z5KszjzOSH",Jungkook.97🐰정국
@heejae_4you 그니깐요 어제 광주콘 최대의 미스테리🤔,아들둘맘JSA 熙栽 알아 🍋🍷🌹🌟🥕
"RT @pinkocean012: 저어번 팬싸 때 빠닌니한테 선물한 마스크 웅니가 인증해줌😭 감동 심해🫶

어제
묭 : 그거 어디다가 착장을 맞춰야 할지🤔 내가 팬미팅 때 쓰고 갈게!
효 : 아 거짓말ㅋ

하고 끝났는데 어떻게 이렇게 바로 그것도 유리…",✨
이번옷 드룸으로 입혀보는데 망토 끝 뾰족한 부분이 신경쓰인다... 마른캐는 괜찮은데 상체 키우면 더 도드라지는 느낌ㅠㅠ 옷은 이쁘긴한데 고민이네🤔 https://t.co/hFjMRaQeit,루
"사실 기다리고 찾는 사람도 없는데 은근슬쩍 그냥 해도 되지 않나..? 
???
나 자신과의 약속..?
그런거를 지켰다면 제가 이렇게 살고 있을까요..? 🤔",허밍버드
"1072보니까 뭐랄까 장일소가 ‘일부러 봐줬다’기보단 소병이가 장일소를 ‘전력을 다하지 못하게’ 상대해왔다는 쪽인거같음🤔🤔🤔
그니까 게릴라전으로ㅇㅇ 만인방을 전부 이끌고 공격하지 못하도록 쏙쏙 숨어다니면서ㅇ… https://t.co/BWQlkJaQih",망리모💙💚まんりも
"RT @yellow_duckling: 과거 데레포 기록들을 조사한 결과 카나데 엄마는 슈코고 슈코 마마는 후레쨩이기 때문에 카나데는 후레쨩 손녀라는 결론에 도달했읍니다

제대로 나이 순서대로 가고 있어… 🤔 https://t.co/05j1Y8Ovlb",위로/ウイロ
"오늘 첫 꽃은 약해서 더 예쁜 델피늄.
뒤에 아직 다듬을 꽃들이 수두룩....
이거 말고도, 다듬을 사람도 많은데 어쩐다..
너무 바쁜데 우리 조직원애들은 다 어딜간건지 🤔
#두목님의_일상 https://t.co/oM5jAQ258b",이류호 (직업 님목두)
"RT @STAYCUniverse: 221027 || Sieun Weverse Update

오늘도 빙글빙글 동글동글 돌아가는 시으니의 하루🤓
오늘 스윗의 하루는 어떻게 돌아가나 tmi 공유해쥬🤔

pt.1 
#시은 #Sieun #STAYC #스테이씨…",prince
저 거대뵤 볼때마다 리님생각남 🤔,유르카시엘
"RT @NutsAboutBTS: 근데 차쥐뿔 몇번 찾아보긴 했는데.. 저렇게 많이 취해서 끝나는 컨텐츠였나?? 🤔

I'm voting for BTS (@BTS_twt) for Favorite Pop Duo or Group at the #AMAs  …",Ruhe⁷
"메가커피 딸기라떼와
공차 딸기쥬얼리밀크티가 투탑인듯
비싸서 잘 못 먹을뿐🤔 https://t.co/sOSxV9oR3f",유우키
그럼 모멘트를 정리해보실까 🤔,𝐊𝐈𝐊𝐈
"과거 데레포 기록들을 조사한 결과 카나데 엄마는 슈코고 슈코 마마는 후레쨩이기 때문에 카나데는 후레쨩 손녀라는 결론에 도달했읍니다

제대로 나이 순서대로 가고 있어… 🤔 https://t.co/05j1Y8Ovlb",𓅰
@liondobbi_23 이게 모지🤔 움..,구름☁︎
@badliar1106 천제연🤔,ssams
"얼마 전에 집에서 사과를 보내주셔서 가끔 먹는데, 남은 심지를 음식물봉투에 넣으니까 이전처럼 냄새가 심하지 않다 🤔",nodef
RT @bigbang_always: 그런데 혹시 이 프로필사진이 앨범과도 연관 있을수도 있지 않을까..백야랑 반대되는 흑야(극야) 라던지 개기일식같은 그런🤔 https://t.co/XBMuPILUUm,❊한시야❊
@kasuga_mirai_39 굳이 욕할 필요까지 있나...? 이상한거도 아니고...물론 아직 받아들이기 쉽지는 않겠지만 갈 사람은 가고 아님 마는건데..🤔 일하는 사람들 욕할필요는 더욱 없고..,하얀콜라
"어??
애들 몇일전에 일본에서 한국 돌아왔는데 벌써 단 나라로 가는거야!??ㅠㅠ
우와 넘 힘들겠다ㅠㅠ
인도네시아에서 공연하는건가?? 🤔",민
RT @favoritecereal: 18번 선수.. 유니폼달라고하는데 손은 왜 잡아요🤔 https://t.co/OZYb5rGD6Q,글루
"RT @jimin_thejimin: 방탄소년단 지민
수동검색후 기사공감+추천

기사 밑으로 내려야 있어요😅

근데 왜 수동검색했는데
여돌 기사가 먼저 뜨는지..
이상하네여🤔

We are proud of #WithYou by #JIMIN #BTSJI…",짐니꾸기
밑단도 까맣게해주지...🤔🤔 https://t.co/JihexwFn4t,ReaA_래아_レア
"플라시보 효과인가?🤔🤔
어제 오늘 좀 덜 피곤한것 같은데?!😆😆",eugene_28_3
저녁 뭐먹지🤔 마음이 힘드니까 자꾸 먹는걸로 스트레스 풀음🤦🏻‍♀️,카페인중독자 김익명
"@commudyen 좋아해주시니 기부니가 조으네요 ₍ᐢɞ̴̶̷.̮ɞ̴̶̷ᐢ₎ 💕
헐 기간이 막 촉박한 건 아니네요 관심이야 있는데 관심이야 있는데!
그거까지 뛰면 제가 10일씩만 쉬고 커뮤 3개를 연달아 뛰… https://t.co/0D5keLqyOM",Ace
@finupgirl 핱트님 맥날은 안가요?🤔,𝐋𝐮𝐜𝐤𝐲🐣𝐒𝐮𝐉𝐞𝐨𝐧𝐠🍋
메모지 아크릴 받침대?  땡긴다.. 천관이랑 마도랑 화산이랑 데못죽 4가지 만들어볼까...🤔,정연
"물랑 뭔 다 플미야
사는 사람이나 파는 사람이나 다들 정신차려라 어휴
공원은 진짜 하는게 뭘까 서버도 구리고 매크로도 안잡고🤔",초롱초롱 썬플^v^🌻
쿠킹덤 닉 뭐로 바꾸지🤔,아램
"RT @HSW_grgr: [🤨] 하늘들의 취향존중, ‘셍-bti’

하성운은 한 명이지만 취향은 다 다른 하늘들의 하성운 취향은?🧐

[제 1회 셍bti 중간고사]
Q1. Y➖D
Q2. P➖R➖C
Q3. S➖D➖F
Q4. A➖E

#오늘의셍_bti…",woongniel.luv
"RT @kyungmi631: 10/27일자 마마툽과원아페툽
인증!✌️
🤔그룹대전들이라 솔로는 쪼금 힘들지만 그래도 짱니티닌깐 홧팅!ㅎㅎ
.
#MAMAVOTE #kangdaniel #강다니엘 https://t.co/coV7qTtgmF",Ramonaqth
한국 유흥가와 일본 유흥가가 완전히 달라보이는 건 사람 얼굴을 박아넣은 간판들 때문이지 않을까🤔 일본 유흥가에 들어서면 남자든 여자든 사진을 간판에다 큼지막하게 박아넣어서 광고하고 있는 유흥업소의 과격한 어… https://t.co/Yykw57NoZR,rona13
"@kang_min_ing @kkangcari 근데 저 어제 찐으로 빼빼로에 우유먹엇능데,, 흐음🤔 미닝쨈 설마 나를,,,,,!??",______쿠릉⚡️
ㄹ) 으음???? 대기업이랑 미팅할때도 저러는 사람 없던데...? 대부분 바로 집어넣거나 수첩에 넣던데...? 중소기업도 그렇고 음.. 저게 일반적인 예의인건가...?🤔,김드리퍼💖보민
"221027 || Sieun Weverse Update

오늘도 빙글빙글 동글동글 돌아가는 시으니의 하루🤓
오늘 스윗의 하루는 어떻게 돌아가나 tmi 공유해쥬🤔

pt.1 
#시은 #Sieun #STAYC… https://t.co/oLMQtko3N0",STAYC Universe
@heyst_suna__ 헉 저는 본 적 없는 작품이네요 🤔 둘 다 잘 안 보는 부류라서 아쉽게두 추천해 드릴 작품이 없어요 ㅠ.ㅠ…… 소아온? 소아온은 보셨나요?,리라 🌸
@bangsh_bjd 라미 ? 하미 🤔??,❄️동결👻제리👻
"RT @Ondal_0404: 슈주 단체 보고싶어!!
올해 vol.2 나오는거 맞아?🤔😥 https://t.co/psrmaTdUZt",이나🌙
@Mun_game 어쩜 알란이 약간 복병이 될수도 있지 않을까 싶어요ㅋㅋㅋㅋ 뭔가 나올수 있게 도와준다던지... 제이쿠가 계속쫒기는 상황이면 엠씨랑은 영원히 이런관계일수 밖에 없을건데...아니 정말 그렇게 끝나려나..?🤔🤔 (절망),달달
@minato__mio 가슴이 너무이뻐요.🤔,박동훈
