text,name
"RT @allofkiki: 221027 #기현 공카 댓글

여기가서 다정하고, 저기가서 귀여워해주고
오늘도 눈뜨자마자 사랑해 🥹🫶🏻

#MAMAVOTE #MONSTAX https://t.co/lh0JvruuHR",최희나
"RT @lovballena: 귀여운 미녁이를 보고도 지나치실건가용..? 🥹

#MAMAVOTE #MONSTAX https://t.co/EoIgjzjsKF",에베베베벱
RT @yoookiihhh: 221026 #기현 위드뮤 🥹 https://t.co/RMmo5x1KT3,youth많관부
@soudcjk 끼야아아악…. 🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹😅 가래떡 강아지 …. 🥹🥹🥹🥹🥹🥹🥹,조진토마토(tomatoisdie)👽
"RT @lucky_hedgehogs: #그림러_트친소 #트친소

나랑트친해보자고🥹.... https://t.co/ZsMQ8BpH7V",졸렝
"RT @daru_RLI: 코하쿠 손 린네한테 진짜로 한줌임 🥹 
크기 차이 봐 https://t.co/z3bixMnnML",점점점
"RT @Luckforyhj: #MAMAVOTE #theboyz

투표할 겸 알티 추첨 한 분께 띠부띠부씰을 보내드립니당 🐾🤍
(해시태그 잘못 써서 재업입니다🥹) https://t.co/xJM8hA1Sj3",단
"RT @301_wh_7: ~이 날의 티엠아 얘기하는 중~
🐰아침에에~ 운동을 하러 갔는데! 운동을 하러 갔는데 운동을 하러 갓는데?!
💙ㅎㅎㅎㅎㅎㅎㅎㅎ(기엽따🥹)
🐰또까튼 마를 또또또또ㄸ또또또

#원호 #WONHO https://t.co/LrGS77…",슬아나무💙원호
RT @yeopbojagi: 아이브 애프터라이크 🥹🥹 https://t.co/DvZsfowTRy,zeyan
"RT @Anna_1129J: RT 감사합니다 🥹🙏

배니싱 폴라교환 (✨ 김종구 배우님)

저)
명순이랑 같이찍은 폴라(살짝 미소지은표정)

님)
다른 소품이나 포즈 또는 가로폴라
안뽑은 판 또는 김종구 배우님 교환권 
(현미경, 선글라스, 창문에서…",타이니
"RT @bts7S2army: 정구가 카타르에서 언제오니
스밍하며기다릴께🥹

#TheCollaborationSong #LeftandRight     #PCAs https://t.co/9SIBPD7net",행복하쟈꾸기💜
"RT @bbangeyum: 221026 위드뮤 #기현

기현이,,, 안광이,,,🥹,,,🫶🏻 https://t.co/xrhrKoiVGn",𝑙𝑖𝑛 ఇ
"RT @qqpo_qqpo: 추천받은 TC필모캐♀️ 네명
개인적인 취향+해석이 들어갔으므로 생각하시던거랑 이미지가 달라도 너그럽게 이해해주시길 바라요🥹🙏
어쩌다보니 소년,청년,중년,장년 시간대별로 전부 다 그릴 수 있어서 재밌었네요 ㅋㅋㅋ https:…",욥
"헹가레 조슈아 미공포 양도합니다🥹🫶🏻 
디엠으로 제시 해주세요 dm plz
조슈아 yes24 인터파크 핫트랙스 미공포 세븐틴 https://t.co/8ujai1X7RG",포카팔이
RT @ready___set: 모델이 너무 . . 🥹 https://t.co/bdxeSTHVgH,dongdong 🍀
구할때까지 안내리니 제발 몇개월이 지나도 디엠 주세요🥹,거래용
"RT @dearmyyb: ⭐️ 액자 무료 나눔 ⭐️
액자 통판으로 구매했던 최1 액자에서 약간의 흠집 난 상태로 배송되어 온 액자 나눔합니다 🥹 선생님께 허락은 당연히 받았고! 흠집은 아래 사진으로 확인해 주세요 🙏🏻 RT 추첨으로 진행하고 발표는…",ㅃㅂㄱ
"RT @0ksuesue: 더비존에서 형서가 더비들의 행복을 빌어주었을 때 진짜 울컥하고, 완전 감동 받았었는데..
앞으로 힘들 때마다 서로 기대자 ❤︎ 라고 해준 우리 천사 케빈👼🏻
더비존에서 우리 짱보이즈 평생 지켜주기로 약속 했으니까!! 베이비들…",너굴
"RT @211009_no4: 221023 기은졔스 #김희진
눈빛작살 ,, 🥹 https://t.co/XggLr04SUS",떼굴
"RT @MOA_iS2i: #RT이벤트 #알티추첨

사고 싶은데 돈 없어서 굿즈 못 사는 깅들을 위해 들고 왔어요😚💕

팔로워 한정 RT추첨 네 분 원하시는 거 하나씩 드려요!!
트친해 주셔서 감사합니당🥹💖

①미드썸머(미개봉)
②지비지비 세트
③블루…",담
RT @_l60808: 챙이도 싸인해준거....?🥹 https://t.co/z4aIUeZfrS,Hades
RT @Seogil_: 오사카보이즈의 할로윈인거야…🥹💕 https://t.co/WjKyEfds1m,mika nabi ❄️
"RT @VirtualR214: #MAMAVOTE #nct127 
🥹 윤슬 너무 좋습니다ㅠㅠ https://t.co/1kGrrChL11",A'#fallin
"RT @moreaboutboy: 미남들...🥹🫶
#도영 #DOYOUNG #NCT127 https://t.co/0QVef4PFYQ",충만
우하하하 드디어 종의 기원 간다🥹🥹🐾 https://t.co/0Tss3T18B5,나나 메인트
"RT @sarara_rarara: 아니벌써 나기사 생일.. 새거 그릴시간이 없어서 재업ㅜ
프박.,코드를 올릴랬는데 그럴짬도없음 혹시 원하시는분계시면.. 걍 이 이미지 맘대로 써주세요🥹 https://t.co/lZNLnPA3nq",메로 ᐢ- ̫-ᐢ₎ · °
RT @SY64930547: #MONSTAX #MAMAVOTE 우리 이 해시 하루에 한번씩만 사용해주세요!! 그리고 이 해시 보이면 알티랑 맘찍 꼭꼭 해주세요 손가락 몇번만 움직이면 되고 우리야들 상받고 사랑한다 몬베베 외치는거 봐아죠🥹 다들 스밍도…,난너에게젤러시
"RT @yellow3mayo: 220909 #런쥔 #renjun #仁俊
콰이엇다운..🥹🥹
#MAMAVOTE #NCTDREAM https://t.co/OHlfzhpJHw",aychan 🫐
"RT @_Yellowbubble: [rt이벤트🌟] 제가 좋아하는 은해윤 작가님께서 정말 열심히 집필하신 [엑스트라는 가짜가 되기로 했다]가 카카오페이지에 기다리면 무료로 런칭되었어요❗알티해주신 분들 중 한 분께 허니콤보웨지감자세트를 드립니다💕

ht…",봄시내
"RT @wink_5299: 221021 예사팬싸 
이거 본인이라고 가르키는 토끼 어때...
🐶귀여움🥹🫶🫶🫶
#박지훈 #parkjihoon @Park_Jihoon_twt https://t.co/qi8jOJq7Yt",빨간망또🐰
RT @_waveww717: 비 오는 것 좀 봐ㅋㅋㅜㅜㅜㅜㅜㅜㅜㅜ 그래도 넘넘 재밌고 행복했어..🥹 https://t.co/m3ktq1Xv9g,517
RT @hyenbutler: 탐라에 빨간머리앤 다이애나 의상 대여/판매 하는분 안계실까요..🥹,ODONG🍋
"RT @TZero513: 영탁콘서트 서울 뱃지로 창원 뱃지 구해봅니다 살려주세요🥹 디엠, 댓글 다 좋습니다💙",피카추
"RT @BE_00_427: 221002 대구 힙합페스티벌 비오 BE'O 

차눅 보고싶다요..🥹

#비오
#beo
#유찬욱 https://t.co/vicJZmK3lA",봉
RT @you_jumeokeat: 피어리스랑 덤덤 추는 슈화🥹 https://t.co/VlZLRm8v8g,우롱티
RT @twofivenight: 울먹이는 디테일 라이브에서도 살린거 진심 좋음🥹 어떻게 사람목소리가 요이사키카나데 https://t.co/5AwPfgCZMr,닭대가리
어쩜 우리 아기토끼는 그림도 잘 그릴까 ..🥹💖 https://t.co/bHMQPlkeaB,𝐕.𝐤𝐢𝐥
RT @itview_: 아너무아름다워.....🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹 https://t.co/wWTZhwQ5eV,myomyo 🐧
잘 지내고 있구나🥹 #도태훈 https://t.co/Q5cFj6GDrX,𝙈𝙔𝙊
"RT @rifjem: 호마당 1 2 3 4 7 8 &gt;&gt;&gt; 중에 한 장 양도 받아요 🥹
혹시 표가 남는다면••• 디엠 주세요 🥹🥹💗💗",수민🍁
"RT @sadaxx___: #맠정 
얘들아 익명의천사샘이 보내주셧는데..🥹
*온플 도입부에서 마쿠 손이 슬금슬금..내려오더니 갑자기 짱우 허벅지를. 쓸어내림....허벅지손에잡히는거 너무야해서 식은땀남.. https://t.co/jFfBZ1jVop",린엔
"RT @xxxmozzi_z: 저번 청약시즌에 부대집 중형으로 이사 성공해서(🥹) 오랜만에 하우징 건드려봤는데 만족스럽다... ㅠㅠ9
#ffxivhousing #HousingEden https://t.co/azxHkBkG1G",Teegan 🧳 6.2+ Let’s gooo!
"어제 태권도 사범님께 하트 하면서 내리는 딩초친구를 봤는데 진짜 너무 귀여웠음🥹

나도 집에 04 귀여운 아들있는데..힘내야지..태일아 엄마 힘낼게 https://t.co/kk5SmdhQki",햄태리
"RT @hirosia_: 저 예전에 학교 다닐 때 금품 갈취(약 200만원 가량) 폭력 따돌림 등 극심한 학교폭력 당했고 이번 사건이 가해자가 신상 공개,허위사실 유포등등 하려고 한 걸수도 있을 것 같아 내일 경찰서 가보려고 합니다 부디 별 일 없기…",개씹탑
RT @nya__v: 헐 애쉬미포 넨도 나온대 이쁘다 ..🥹 https://t.co/FBCufkaPT9,고라니코 였던 것에 대하여
"RT @FIM_YJ: 워니 위버스에 핫썸머즈☀️
너무 귀여워🥹 https://t.co/hKsXiWRj13",Bigiworld
RT @Nu0606Nu: 썸넬!🥹 https://t.co/4V2U0iTO9Y,Marisa
"RT @A_longtime_a90: [RT] 한분께 랜덤박스 보내드립니다(수령 인증샷 필수📸)

https://t.co/j3r7QQXHlJ

주문기간 [28일 12시~29일 18시까지]
출고일 [11월 2일]

쿠키세트를 마치고 오랜만의 스콘과 구움…",주복
RT @_l60808: 꺆우리강아지양갈래!!!!🐹🤍🥹🫶🏻 #로제 #ROSÉ https://t.co/okybjLgiaD,ANGLEROSÉ
"RT @euldong_2: 데뷔초부터 졸려보인다는 말이 스트레스여서 
그 특징을 장점으로 만들어보고 싶었다는 민니

그리고 이제는 그 눈으로 레전드 직캠까지 만들어내는... 이 감동실화🥹 https://t.co/058zB3VuLD",바꿀닉넴 후보좀
RT @hoobu109: 운명즈 쭈아아아...🥹👍👍 https://t.co/LDySrISXRg,ปักเมนไม่ได้แต่ให้ซองฮุนอยู่ยอดพีระมิด
"으앙.. 아기피어나깅 담에는 꼭 붙을 거예요ㅠㅠ 현참은 안 받는 걸로 알고 있습니다🥹 

 https://t.co/GSYAHZVhJy",사또밥
@5ngBird 저랑 같이 먹어요… 위시즈 윶건 자주 검색하는데 쪽금 밖에 없어서 매번 울어요🥹🥹,밀크쿠키
"RT @tbz5yeah: 티저영상 떴을 때부터 꼬옥 가야지 생각하고
오픈 날 후딱 갔다왔습니다 •̀ ‧ •́ ❤️‍🔥❤️‍🔥
특전들도 너무 예쁘고, 꾸미신 것만 봐도 볼 게
너무 많아요 ! 특히 일기장 최고 ..
저는 럭드 5등 6개가 목표엿서요 엽…",🫧체리쉿🍒🐈‍⬛🐾
